"1","1"
"2","1.01"
"3","1.02"
"4","1.03"
"5","1.04"
"6","1.05"
"7","1.06"
"8","1.07"
"9","1.08"
"10","1.09"
"11","1.1"
"12","1.11"
"13","1.12"
"14","1.13"
"15","1.14"
"16","1.15"
"17","1.16"
"18","1.17"
"19","1.18"
"20","1.19"
"21","1.2"
"22","1.21"
"23","1.22"
"24","1.23"
"25","1.24"
"26","1.25"
"27","1.26"
"28","1.27"
"29","1.28"
"30","1.29"
"31","1.3"
"32","1.31"
"33","1.32"
"34","1.33"
"35","1.34"
"36","1.35"
"37","1.36"
"38","1.37"
"39","1.38"
"40","1.39"
"41","1.4"
"42","1.41"
"43","1.42"
"44","1.43"
"45","1.44"
"46","1.45"
"47","1.46"
"48","1.47"
"49","1.48"
"50","1.49"
"51","1.5"
"52","1.51"
"53","1.52"
"54","1.53"
"55","1.54"
"56","1.55"
"57","1.56"
"58","1.57"
"59","1.58"
"60","1.59"
"61","1.6"
"62","1.61"
"63","1.62"
"64","1.63"
"65","1.64"
"66","1.65"
"67","1.66"
"68","1.67"
"69","1.68"
"70","1.69"
"71","1.7"
"72","1.71"
"73","1.72"
"74","1.73"
"75","1.74"
"76","1.75"
"77","1.76"
"78","1.77"
"79","1.78"
"80","1.79"
"81","1.8"
"82","1.81"
"83","1.82"
"84","1.83"
"85","1.84"
"86","1.85"
"87","1.86"
"88","1.87"
"89","1.88"
"90","1.89"
"91","1.9"
"92","1.91"
"93","1.92"
"94","1.93"
"95","1.94"
"96","1.95"
"97","1.96"
"98","1.97"
"99","1.98"
"100","1.99"
"101","2"
"102","2.01"
"103","2.02"
"104","2.03"
"105","2.04"
"106","2.05"
"107","2.06"
"108","2.07"
"109","2.08"
"110","2.09"
"111","2.1"
"112","2.11"
"113","2.12"
"114","2.13"
"115","2.14"
"116","2.15"
"117","2.16"
"118","2.17"
"119","2.18"
"120","2.19"
"121","2.2"
"122","2.21"
"123","2.22"
"124","2.23"
"125","2.24"
"126","2.25"
"127","2.26"
"128","2.27"
"129","2.28"
"130","2.29"
"131","2.3"
"132","2.31"
"133","2.32"
"134","2.33"
"135","2.34"
"136","2.35"
"137","2.36"
"138","2.37"
"139","2.38"
"140","2.39"
"141","2.4"
"142","2.41"
"143","2.42"
"144","2.43"
"145","2.44"
"146","2.45"
"147","2.46"
"148","2.47"
"149","2.48"
"150","2.49"
"151","2.5"
"152","2.51"
